Name,Name2,RA,Dec,Dist,MV,R_eff,Type,Phot,N_mask,N_mem,vhel,vhelerr,sigma,serr_low,serr_up,serr_95
Aquarius II,Aqr2,338.4813,-9.3274,108.0,-4.4,5.1,G,LS,1,8,-62.992,2.392,5.312,1.6020000000000003,2.7220000000000004,-999.0
Aquarius III,Aqr3,357.22,-3.49,85.0,-2.5,2.1,G,LS,1,11,-13.162,0.967,-999.0,-999.0,-999.0,3.651
Bootes I,Boo1,210.0200348,14.5135002,66.0,-6.0,10.5,G,LS,8,90,101.853,0.486,3.188,0.41100000000000003,0.48299999999999965,-999.0
Bootes II,Boo2,209.5141296,12.855278,42.0,-2.9,3.07,G,LS,7,17,-128.416,0.705,1.924,0.6039999999999999,0.77,-999.0
Bootes III,Boo3,209.3,26.8,46.0,-5.8,30.0,G,LS,9,16,189.946,1.824,5.268,1.6709999999999998,2.1000000000000005,-999.0
ComaBer,CB,186.7454224,23.9069176,42.0,-4.3,5.67,G,LS,8,82,93.545,0.622,3.328,0.45799999999999974,0.5760000000000001,-999.0
Cetus III,Cet3,31.330833,-4.27,250.0,-2.5,1.23,G,LS,3,3,1.264,2.647,-999.0,-999.0,-999.0,-999.0
Columba 1,Col1,82.85696,-28.04253,182.0,-4.2,2.2,G,LS,1,9,148.817,2.349,5.961,1.806,2.776,-999.0
CVn I,CVn1,202.009079,33.5520821,220.0,-8.8,7.48,G,LS,8,254,30.538,0.576,7.664,0.4109999999999996,0.4429999999999996,-999.0
CVn II,CVn2,194.2926636,34.3226395,160.0,-5.2,1.52,G,LS,5,25,-131.75,1.241,5.278,0.9649999999999999,1.2540000000000004,-999.0
Draco,Dra,260.0684509,57.9184723,81.5,-8.7,9.61,G,LS,26,995,-292.23,0.319,9.546,0.24799999999999933,0.25900000000000034,-999.0
Draco II,Dra2,238.2,64.57,21.5,-2.9,2.7,G,LS,3,25,-342.28,0.698,-999.0,-999.0,-999.0,2.637
Eridanus,Eri,66.18533,-21.1875553,84.6,-4.9,0.65,GC,LS,2,24,-18.398,0.301,-999.0,-999.0,-999.0,0.887
Eridanus 4,Eri4,76.438,-9.515,76.5,-3.8,3.24,G,LS,1,19,-34.35,1.267,4.546,0.8860000000000001,1.146,-999.0
Fornax,For,39.9583359,-34.4997215,142.5,-13.5,18.5,G,LS,5,663,53.862,0.465,11.713,0.3309999999999995,0.3570000000000011,-999.0
Herc,Herc,247.7722015,12.7851944,131.0,-5.8,5.83,G,LS,9,43,45.257,0.556,2.249,0.6080000000000001,0.6699999999999999,-999.0
Hydra 2,Hyd2,185.4251251,-31.9860287,151.0,-4.6,1.65,G,MZ,1,11,304.407,1.092,-999.0,-999.0,-999.0,4.109
Koposov 1,K1,179.8253326,12.261528,48.3,-1.0,0.68,U,LS,1,7,5.884,1.323,-999.0,-999.0,-999.0,5.946
Koposov 2,K2,119.5714951,26.2573981,24.0,-0.9,0.42,U,LS,3,13,108.207,1.336,-999.0,-999.0,-999.0,5.231
Crater 1,Lae1,174.066803,-10.8772221,145.0,-4.8,0.5,GC,LS,1,9,149.983,0.945,-999.0,-999.0,-999.0,4.496
Laevens 3,Lae3,316.7293,14.9843,61.4,-4.4,0.4,U,LS,1,6,-72.569,1.228,-999.0,-999.0,-999.0,7.421
Leo I,Leo1,152.1145782,12.3059168,258.0,-11.8,3.53,G,LS,19,686,285.872,0.365,9.285,0.26399999999999935,0.26399999999999935,-999.0
Leo II,Leo2,168.3626556,22.1528606,233.0,-9.7,2.46,G,LS,9,253,78.822,0.501,7.532,0.36300000000000043,0.39200000000000035,-999.0
Leo IV,Leo4,173.240509,-0.543056,151.0,-5.0,2.61,G,LS,4,24,129.777,0.933,3.291,0.661,0.8939999999999997,-999.0
Leo V,Leo5,172.785675,2.219389,169.0,-4.4,1.05,G,LS,2,10,170.784,1.506,3.374,1.0380000000000003,1.7230000000000003,-999.0
Leo VI,Leo6,171.073,24.87,111.0,-3.6,3.81,G,LS,1,9,170.278,1.848,3.783,1.371,2.1510000000000002,-999.0
Leo T,LeoT,143.7291718,17.0482216,413.0,-7.6,1.27,G,LS,7,42,37.137,1.146,6.054,0.8630000000000004,1.0729999999999995,-999.0
Munoz 1,Mun1,225.4490356,66.9681931,45.0,-0.5,0.49,GC,LS,1,2,-140.094,6.448,-999.0,-999.0,-999.0,-999.0
NGC 1904,N1904,81.04958,-24.52472,13.0,-7.9,0.65,GC,LS,6,61,205.972,0.706,5.216,0.5129999999999999,0.5670000000000002,-999.0
NGC 2419,N2419,114.5354156,38.8818626,88.5,-9.4,0.89,GC,MZ,7,86,-20.907,0.536,4.692,0.37900000000000045,0.43400000000000016,-999.0
